Scramble Length/Seed,States Checked,Sequence
0,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
0,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
0,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
0,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
0,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
1,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['4' '4']
         ['4' '4']
['0' '0']['2' '2']['1' '1']['3' '3']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
1,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['4' '0']
         ['4' '0']
['3' '3']['0' '5']['2' '2']['4' '1']
['3' '3']['0' '5']['2' '2']['4' '1']
         ['5' '1']
         ['5' '1']
         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
1,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['4' '1']
         ['4' '1']
['3' '3']['0' '4']['2' '2']['5' '1']
['3' '3']['0' '4']['2' '2']['5' '1']
         ['5' '0']
         ['5' '0']
         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
1,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['1' '4']
         ['1' '4']
['3' '3']['4' '0']['2' '2']['1' '5']
['3' '3']['4' '0']['2' '2']['1' '5']
         ['0' '5']
         ['0' '5']
         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
1,"[1, 1, 1, 1, 1, 3, 4, 2, 6, 5, 13, 8, 10, 4, 9, 231, 37, 202, 380, 5, 20, 169, 79, 20, 144, 374, 144, 699, 13, 1000, 856, 1000, 37, 232, 1000, 1000, 1000, 1000, 39, 1000, 1000, 762, 1000, 58, 1000, 1000, 1000, 417, 12, 1000, 70, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 40, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000, 1000]","         ['5' '4']
         ['5' '4']
['3' '3']['1' '0']['2' '2']['1' '0']
['3' '3']['1' '0']['2' '2']['1' '0']
         ['4' '5']
         ['4' '5']
         ['4' '4']
         ['4' '4']
['3' '3']['0' '0']['2' '2']['1' '1']
['3' '3']['0' '0']['2' '2']['1' '1']
         ['5' '5']
         ['5' '5']
"
